kode,uraian,uraian_ai
000,umum;umum,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum"
400.7.29.1,penilaian obat tradisional suplemen makanan dan kosmetik;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan obat tradisional kosmetik dan produk komplimen -> penilaian obat tradisional suplemen makanan dan kosmetik"
400.7.29.2,standardisasi obat tradisional kosmetik dan produk komplimen;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan obat tradisional kosmetik dan produk komplimen -> standardisasi obat tradisional kosmetik dan produk komplimen"
400.7.29.3,inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan obat tradisional kosmetik dan produk komplimen -> inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen"
400.7.29.4,obat asli indonesia;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan obat tradisional kosmetik dan produk komplimen -> obat asli indonesia"
400.7.30,pengawasan keamanan pangan dan bahan berbahaya;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan keamanan pangan dan bahan berbahaya"
400.7.30.1,penilaian keamanan pangan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan keamanan pangan dan bahan berbahaya -> penilaian keamanan pangan"
400.7.30.2,standardisasi produk pangan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan keamanan pangan dan bahan berbahaya -> standardisasi produk pangan"
400.7.30.4,surveilan dan penyuluhan keamanan pangan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan keamanan pangan dan bahan berbahaya -> surveilan dan penyuluhan keamanan pangan"
400.7.30.5,pengawasan produk dan bahan berbahaya;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> pengawasan keamanan pangan dan bahan berbahaya -> pengawasan produk dan bahan berbahaya"
400.7.31,rekam medis;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kesehatan -> rekam medis"
400.8,agama dan kepercayaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan"
400.8.1,kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah"
400.8.2,fasilitasi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi"
400.8.2.1,data forum komunikasi umat beragama fkub prov atau kab atau kota;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi -> data forum komunikasi umat beragama fkub prov atau kab atau kota"
400.8.2.2,pelaksanaan kerukunan umat beragama dan kepercayaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi -> pelaksanaan kerukunan umat beragama dan kepercayaan"
400.8.2.3,pelestarian nilai-nilai keagamaan dan kepercayan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi -> pelestarian nilai-nilai keagamaan dan kepercayan"
400.8.2.4,kasus keagamaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi -> kasus keagamaan"
400.8.2.5,kasus aliran keagamaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> fasilitasi -> kasus aliran keagamaan"
400.8.3,pembinaan kepercayaan kepada tuhan yme;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme"
400.8.3.1,kelembagaan dan kepercayaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme -> kelembagaan dan kepercayaan"
400.8.3.2,pembinaan kerukunan hidup beragama;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme -> pembinaan kerukunan hidup beragama"
400.8.3.3,komunitas kepercayaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme -> komunitas kepercayaan"
400.8.3.4,pengetahuan dan ekspresi budaya tradisional;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme -> pengetahuan dan ekspresi budaya tradisional"
400.8.3.5,lingkungan budaya dan pranata sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> agama dan kepercayaan -> pembinaan kepercayaan kepada tuhan yme -> lingkungan budaya dan pranata sosial"
400.9,sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial"
400.9.1,kebijakan di bidang sosial yang dilakukan oleh pemerintah daerah;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kebijakan di bidang sosial yang dilakukan oleh pemerintah daerah"
400.9.2,kesejahteraan sosial anak;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak"
400.9.2.1,kesejahteraan sosial anak balita;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak -> kesejahteraan sosial anak balita"
400.9.2.2,kesejahteraan sosial anak terlantar;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak -> kesejahteraan sosial anak terlantar"
400.9.2.3,kesejahteraan sosial anak berhadapan dengan hukum;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak -> kesejahteraan sosial anak berhadapan dengan hukum"
400.9.2.4,kesejahteraan sosial anak dengan kecatatan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak -> kesejahteraan sosial anak dengan kecatatan"
400.9.2.5,kesejahteraan sosial anak yang membutuhkan perlindungan khusus;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kesejahteraan sosial anak -> kesejahteraan sosial anak yang membutuhkan perlindungan khusus"
400.9.3,rehabilitasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial"
400.9.3.1,rehabilitasi sosial orang dengan kecacatan tubuh dan bekas penderita penyakit kronis netra dan rungu wicara mental;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial -> rehabilitasi sosial orang dengan kecacatan tubuh dan bekas penderita penyakit kronis netra dan rungu wicara mental"
400.9.3.2,kelembagaan advokasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial -> kelembagaan advokasi sosial"
400.9.3.3,asistensi dan pemeliharaan kesejahteraan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial -> asistensi dan pemeliharaan kesejahteraan sosial"
400.9.4,rehabilitasi sosial tuna sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial tuna sosial"
400.9.4.1,gelandangan pengemis dan pemulung;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial tuna sosial -> gelandangan pengemis dan pemulung"
400.9.4.2,tuna susila dan korban traffking perempuan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial tuna sosial -> tuna susila dan korban traffking perempuan"
400.9.4.3,warga binaan lembaga pemasyarakatan meliputi penyiapan reintegrasi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial tuna sosial -> warga binaan lembaga pemasyarakatan meliputi penyiapan reintegrasi"
400.9.4.4,pelayanan sosial orang dengan hiv  aids dan kelompok minoritas;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial tuna sosial -> pelayanan sosial orang dengan hiv  aids dan kelompok minoritas"
400.9.5,rehabilitasi sosial korban penyalahgunaan napza;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> rehabilitasi sosial korban penyalahgunaan napza"
400.9.6,pelayanan sosial lanjut usia;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pelayanan sosial lanjut usia"
400.9.6.1,pelayanan sosial dalam dan luar panti;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pelayanan sosial lanjut usia -> pelayanan sosial dalam dan luar panti"
400.9.6.2,pengembangan kelembagaan meliputi pembinaan lembaga kerjasama lembaga;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pelayanan sosial lanjut usia -> pengembangan kelembagaan meliputi pembinaan lembaga kerjasama lembaga"
400.9.6.3,advokasi dan pelayanan sosial kedaruratan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pelayanan sosial lanjut usia -> advokasi dan pelayanan sosial kedaruratan"
400.9.7,pengumpulan dan pengelolaan sumber dana bantuan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pengumpulan dan pengelolaan sumber dana bantuan sosial"
400.9.8,perlindungan sosial korban tindak kekerasan dan pekerja migran;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban tindak kekerasan dan pekerja migran"
400.9.9,perlindungan sosial korban bencana sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana sosial"
400.9.9.1,ketahanan sosial masyarakat meliputi keserasian sosial penguatan sumber daya;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana sosial -> ketahanan sosial masyarakat meliputi keserasian sosial penguatan sumber daya"
400.9.9.2,tanggap darurat meliputi bantuan darurat advokasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana sosial -> tanggap darurat meliputi bantuan darurat advokasi sosial"
400.9.9.3,pemulihan sosial meliputi penguatan sosial reintegrasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana sosial -> pemulihan sosial meliputi penguatan sosial reintegrasi sosial"
400.9.9.4,kerjasama meliputi kerjasama pemerintah kerjasama non pemerintah;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana sosial -> kerjasama meliputi kerjasama pemerintah kerjasama non pemerintah"
400.9.10,perlindungan sosial korban bencana alam;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana alam"
400.9.10.1,kesiapsiagaan dan mitigasi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana alam -> kesiapsiagaan dan mitigasi"
400.9.10.2,tanggap darurat meliputi bantuan darurat advokasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana alam -> tanggap darurat meliputi bantuan darurat advokasi sosial"
400.9.10.3,pemulihan sosial dan penguatan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana alam -> pemulihan sosial dan penguatan sosial"
400.9.10.4,kerjasama;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> perlindungan sosial korban bencana alam -> kerjasama"
400.9.11,jaminan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> jaminan sosial"
400.9.11.1,seleksi dan verifikasi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> jaminan sosial -> seleksi dan verifikasi"
400.9.11.2,asuransi kesejahteraan sosial meliputi kelembagaan pengelolaan premi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> jaminan sosial -> asuransi kesejahteraan sosial meliputi kelembagaan pengelolaan premi"
400.9.11.3,bantuan langsung dan tunjangan berkelanjutan meliputi pendampingan dan penyaluran;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> jaminan sosial -> bantuan langsung dan tunjangan berkelanjutan meliputi pendampingan dan penyaluran"
400.9.11.4,kerjasama;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> jaminan sosial -> kerjasama"
400.9.12,pemberdayaan keluarga dan kelembagaan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial"
400.9.12.1,ketahanan keluarga;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial -> ketahanan keluarga"
400.9.12.2,asistensi keluarga dan pemberdayaan perempuan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial -> asistensi keluarga dan pemberdayaan perempuan"
400.9.12.3,tenaga kesejahteraan social masyarakat dan organisasi sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial -> tenaga kesejahteraan social masyarakat dan organisasi sosial"
400.9.12.4,kemitraan dunia usaha;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial -> kemitraan dunia usaha"
400.9.12.5,karang taruna meliputi kelembagaan pengembangan kapasitas;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan keluarga dan kelembagaan sosial -> karang taruna meliputi kelembagaan pengembangan kapasitas"
400.9.13,pemberdayaan komunitas adat terpencil;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil"
400.9.13.1,persiapan pemberdayaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil -> persiapan pemberdayaan"
400.9.13.2,pemberdayaan sumber daya manusia;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil -> pemberdayaan sumber daya manusia"
400.9.13.3,penggalian dan pengembangan potensi;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil -> penggalian dan pengembangan potensi"
400.9.13.4,keserasian dan penguatan komunitas adat terpencil;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil -> keserasian dan penguatan komunitas adat terpencil"
400.9.13.5,kerjasama kelembagaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> pemberdayaan komunitas adat terpencil -> kerjasama kelembagaan"
400.9.14,penanggulangan Kemiskinan Perkotaan dan Perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan"
400.9.14.1,identifikasi dan analisis;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> identifikasi dan analisis"
400.9.14.2,pengembangan kapasitas;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> pengembangan kapasitas"
400.9.14.3,penataan sosial lingkungan kumuh;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> penataan sosial lingkungan kumuh"
400.9.14.4,advokasi social dan pengembangan aksesibilitas;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> advokasi social dan pengembangan aksesibilitas"
400.9.14.5,bantuan langsung;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> bantuan langsung"
400.9.14.6,kerjasama kelembagaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> penanggulangan kemiskinan perkotaan dan perdesaan -> kerjasama kelembagaan"
400.9.15,kepahlawanan keperintisan dan kesetiakawanan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kepahlawanan keperintisan dan kesetiakawanan sosial"
400.9.15.1,penghargaan dan kesejahteraan  keluarga pahlawan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kepahlawanan keperintisan dan kesetiakawanan sosial -> penghargaan dan kesejahteraan  keluarga pahlawan"
400.9.15.2,pelestarian nilai-nilai kepahlawanan dan  keperintisan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kepahlawanan keperintisan dan kesetiakawanan sosial -> pelestarian nilai-nilai kepahlawanan dan  keperintisan"
400.9.15.3,pengembangan kesetiakawanan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kepahlawanan keperintisan dan kesetiakawanan sosial -> pengembangan kesetiakawanan sosial"
400.9.15.4,pengelolaan taman makam pahlawan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> sosial -> kepahlawanan keperintisan dan kesetiakawanan sosial -> pengelolaan taman makam pahlawan"
400.10,pemberdayaan masyarakat desa;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa"
400.10.1,kebijakan di bidang pemberdayaan masyarakat desa yang dilakukan oleh pemerintah daerah;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kebijakan di bidang pemberdayaan masyarakat desa yang dilakukan oleh pemerintah daerah"
400.10.2,pemerintahan desa dan kelurahan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan"
400.10.2.1,fasilitasi pengembangan desa dan kelurahan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan -> fasilitasi pengembangan desa dan kelurahan"
400.10.2.2,administrasi pemerintahan desa dan kelurahan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan -> administrasi pemerintahan desa dan kelurahan"
400.10.2.3,fasilitasi permusyawaratan desa;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan -> fasilitasi permusyawaratan desa"
400.10.2.4,fasilitasi pengelolaan keuangan dan aset desa;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan -> fasilitasi pengelolaan keuangan dan aset desa"
400.10.2.5,pengembangan kapasitas desa;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemerintahan desa dan kelurahan -> pengembangan kapasitas desa"
400.10.3,kelembagaan dan pelatihan masyarakat;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat"
400.10.3.1,lembaga masyarakat;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat -> lembaga masyarakat"
400.10.3.2,pembangunan partisipatif;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat -> pembangunan partisipatif"
400.10.3.3,pendataan potensi masyarakat;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat -> pendataan potensi masyarakat"
400.10.3.4,pengembangan kawasan perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat -> pengembangan kawasan perdesaan"
400.10.3.5,pelatihan masyarakat ;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> kelembagaan dan pelatihan masyarakat -> pelatihan masyarakat"
400.10.4,pemberdayaan adat dan sosial budaya masyarakat;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat"
400.10.4.1,budaya nusantara;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat -> budaya nusantara"
400.10.4.2,pemberdayaan perempuan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat -> pemberdayaan perempuan"
400.10.4.3,pemberdayaan dan kesejahteraan keluarga;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat -> pemberdayaan dan kesejahteraan keluarga"
400.10.4.4,kesejahteraan sosial;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat -> kesejahteraan sosial"
400.10.4.5,tenaga kerja perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> pemberdayaan adat dan sosial budaya masyarakat -> tenaga kerja perdesaan"
400.10.5,usaha ekonomi masyarakat;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat"
400.10.5.1,usaha pertanian dan pangan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat -> usaha pertanian dan pangan"
400.10.5.2,usaha perkreditan dan simpan pinjam;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat -> usaha perkreditan dan simpan pinjam"
400.10.5.3,produksi dan pemasaran;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat -> produksi dan pemasaran"
400.10.5.4,usaha ekonomi dan keluarga;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat -> usaha ekonomi dan keluarga"
400.10.5.5,ekonomi perdesaan dan masyarakat tertinggal;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> usaha ekonomi masyarakat -> ekonomi perdesaan dan masyarakat tertinggal"
400.10.6,sumber daya alam dan teknologi tepat guna perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan"
400.10.6.1,fasilitasi konservasi dan rehabilitasi lingkungan perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan -> fasilitasi konservasi dan rehabilitasi lingkungan perdesaan"
400.10.6.2,fasilitasi pemanfaatan lahan dan pesisir perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan -> fasilitasi pemanfaatan lahan dan pesisir perdesaan"
400.10.6.3,fasilitasi prasarana dan sarana perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan -> fasilitasi prasarana dan sarana perdesaan"
400.10.6.4,fasilitasi pemetaan kebutuhan dan pengkajian teknologi perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan -> fasilitasi pemetaan kebutuhan dan pengkajian teknologi perdesaan"
400.10.6.5,pemasyarakatan dan kerjasama teknologi perdesaan;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> sumber daya alam dan teknologi tepat guna perdesaan -> pemasyarakatan dan kerjasama teknologi perdesaan"
400.10.7,badan usaha milik desa bumdes;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> pemberdayaan masyarakat desa -> badan usaha milik desa bumdes"
400.12,kependudukan dan catatan sipil;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kependudukan dan catatan sipil"
400.12.1,kebijakan di bidang kependudukan dan catatan sipil yang dilakukan oleh pemerintah daerah;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kependudukan dan catatan sipil -> kebijakan di bidang kependudukan dan catatan sipil yang dilakukan oleh pemerintah daerah"
400.12.2,pendaftaran penduduk;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kependudukan dan catatan sipil -> pendaftaran penduduk"
400.12.2.1,identitas penduduk;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kependudukan dan catatan sipil -> pendaftaran penduduk -> identitas penduduk"
400.12.2.2,pindah datang penduduk dalam wilayah nkri;,"[kesra, bansos, pendidikan, kesehatan, agama] -> kesejahteraan rakyat -> kependudukan dan catatan sipil -> pendaftaran penduduk -> pindah datang penduduk dalam wilayah nkri"
